"Bivalirudin";"OIRCOABEOLEUMC-GEJPAHFPSA-N";"Prothrombin";"F2";"yes";"inhibitor"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM1";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM2";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM3";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM4";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM5";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 2B";"HTR2B";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 1A";"HTR1A";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 1B";"HTR1B";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Alpha-2 adrenergic receptors";"ADRA2A";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Alpha-2 adrenergic receptors";"ADRA2B";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Alpha-2 adrenergic receptors";"ADRA2C";"unknown";"antagonist"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Histamine H4 receptor";"HRH4";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA1";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA2";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA3";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA4";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA5";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA6";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRB1";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRB2";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRB3";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRD";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRE";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRG1";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRG2";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRG3";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRP";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRQ";"unknown";"binder"
"Amoxapine";"QWGDMFLQWFTERH-UHFFFAOYSA-N";"Sodium-dependent dopamine transporter";"SLC6A3";"unknown";"binder"
"Fluorouracil";"GHASVSINZRGABV-UHFFFAOYSA-N";"Thymidylate synthase";"TYMS";"yes";"other/unknown"
"Fluorouracil";"GHASVSINZRGABV-UHFFFAOYSA-N";"Thymidylate synthase";"TYMS";"yes";"other/unknown"
"Pyridostigmine";"RVOLLAQWKVFTGE-UHFFFAOYSA-N";"Acetylcholinesterase";"ACHE";"yes";"antagonistinhibitor"
"Pyridostigmine";"RVOLLAQWKVFTGE-UHFFFAOYSA-N";"Cholinesterase";"BCHE";"yes";"antagonist"
"Pyridostigmine";"RVOLLAQWKVFTGE-UHFFFAOYSA-N";"Serum albumin";"ALB";"unknown";""
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit alpha-1";"GABRA1";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit alpha-2";"GABRA2";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit alpha-3";"GABRA3";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit alpha-5";"GABRA5";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit gamma-1";"GABRG1";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit gamma-2";"GABRG2";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit gamma-3";"GABRG3";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit beta-1";"GABRB1";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit beta-2";"GABRB2";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit beta-3";"GABRB3";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit delta";"GABRD";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit epsilon";"GABRE";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit pi";"GABRP";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit rho-1";"GABRR1";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit rho-2";"GABRR2";"yes";"potentiator"
"Adinazolam";"GJSLOMWRLALDCT-UHFFFAOYSA-N";"Gamma-aminobutyric acid receptor subunit rho-3";"GABRR3";"yes";"potentiator"
"Desoximetasone";"VWVSBHGCDBMOOT-IIEHVVJPSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Desoximetasone";"VWVSBHGCDBMOOT-IIEHVVJPSA-N";"Glucocorticoid receptor";"NR3C1";"yes";"agonist"
"Azelaic Acid";"BDJRBEYXGGNYIS-UHFFFAOYSA-N";"Thioredoxin reductase";"trxB";"yes";"inhibitor"
"Azelaic Acid";"BDJRBEYXGGNYIS-UHFFFAOYSA-N";"3-oxo-5-beta-steroid 4-dehydrogenase";"AKR1D1";"yes";"inhibitor"
"Azelaic Acid";"BDJRBEYXGGNYIS-UHFFFAOYSA-N";"3-oxo-5-alpha-steroid 4-dehydrogenase 2";"SRD5A2";"yes";"inhibitor"
"Azelaic Acid";"BDJRBEYXGGNYIS-UHFFFAOYSA-N";"Tyrosinase";"TYR";"yes";"inhibitor"
"Azelaic Acid";"BDJRBEYXGGNYIS-UHFFFAOYSA-N";"DNA polymerase I";"polA";"yes";"inhibitor"
"Zafirlukast";"YEEZWCHGZNKEEK-UHFFFAOYSA-N";"Cysteinyl leukotriene receptor 1";"CYSLTR1";"yes";"antagonist"
"Propylthiouracil";"KNAHARQHSZJURB-UHFFFAOYSA-N";"Thyroid peroxidase";"TPO";"yes";"inhibitor"
"Acetohydroxamic Acid";"RRUDCFGSUDOHDG-UHFFFAOYSA-N";"Urease subunit alpha";"ureC";"yes";"inhibitor"
"Acetohydroxamic Acid";"RRUDCFGSUDOHDG-UHFFFAOYSA-N";"Macrophage metalloelastase";"MMP12";"unknown";"inhibitor"
"Pentostatin";"FPVKHBSQESCIEP-JQCXWYLXSA-N";"Adenosine deaminase";"ADA";"yes";"inhibitor"
"Piroxicam";"QYSPLQLAKJAUJT-UHFFFAOYSA-N";"Prostaglandin G/H synthase 2";"PTGS2";"yes";"inhibitor"
"Piroxicam";"QYSPLQLAKJAUJT-UHFFFAOYSA-N";"Prostaglandin G/H synthase 2";"PTGS2";"yes";"inhibitor"
"Piroxicam";"QYSPLQLAKJAUJT-UHFFFAOYSA-N";"Prostaglandin G/H synthase 2";"PTGS2";"yes";"inhibitor"
"Piroxicam";"QYSPLQLAKJAUJT-UHFFFAOYSA-N";"Prostaglandin G/H synthase 1";"PTGS1";"unknown";"inhibitor"
"Piroxicam";"QYSPLQLAKJAUJT-UHFFFAOYSA-N";"Prostaglandin G/H synthase 1";"PTGS1";"unknown";"inhibitor"
"Piroxicam";"QYSPLQLAKJAUJT-UHFFFAOYSA-N";"Prostaglandin G/H synthase 1";"PTGS1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Voltage-dependent R-type calcium channel subunit alpha-1E";"CACNA1E";"yes";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Sodium channel protein type 2 subunit alpha";"SCN2A";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Adenosine receptor A1";"ADORA1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Adenosine receptor A2a";"ADORA2A";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Alpha-1A adrenergic receptor";"ADRA1A";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Alpha-2A adrenergic receptor";"ADRA2A";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Beta-1 adrenergic receptor";"ADRB1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"D(1) dopamine receptor";"DRD1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"D(1) dopamine receptor";"DRD5";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"D(2) dopamine receptor";"DRD2";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA2";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA3";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA4";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA5";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRA6";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRB1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRB2";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRB3";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRD";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRE";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRG1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRG2";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRG3";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRP";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (anion channel)";"GABRQ";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRA1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRA2";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRA3";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRA4";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRA5";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRA6";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRG1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRG2";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"GABA-A receptor (benzodiazepine site)";"GABRG3";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Kappa-type opioid receptor";"OPRK1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM1";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM2";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM3";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM4";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"Muscarinic acetylcholine receptor";"CHRM5";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 2A";"HTR2A";"unknown";"inhibitor"
"Lamotrigine";"PYZRQGJRPPTADH-UHFFFAOYSA-N";"5-hydroxytryptamine receptor 3A";"HTR3A";"unknown";"inhibitor"
"Hydroxyzine";"ZQDWXGKKHFNSQK-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"yes";"antagonist"
"Hydroxyzine";"ZQDWXGKKHFNSQK-UHFFFAOYSA-N";"Histamine H1 receptor";"HRH1";"yes";"antagonist"
"Zanamivir";"ARAIBEBZBOPLMB-UFGQHTETSA-N";"Neuraminidase";"NA";"yes";"inhibitor"
"Zanamivir";"ARAIBEBZBOPLMB-UFGQHTETSA-N";"Neuraminidase";"NA";"yes";"inhibitor"
"Zanamivir";"ARAIBEBZBOPLMB-UFGQHTETSA-N";"Sialidase-2";"NEU2";"unknown";"inhibitor"
"Bosentan";"GJPICJJJRGTNOD-UHFFFAOYSA-N";"Endothelin-1 receptor";"EDNRA";"yes";"antagonist"
"Bosentan";"GJPICJJJRGTNOD-UHFFFAOYSA-N";"Endothelin B receptor";"EDNRB";"yes";"antagonist"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S9";"rpsI";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S9";"rpsI";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S12";"rpsL";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S12";"rpsL";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S13";"rpsM";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S13";"rpsM";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S14";"rpsN";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S14";"rpsN";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S19";"rpsS";"yes";"adduct"
"Tigecycline";"FPZLLRFZJZRHSY-HJYUBDRYSA-N";"30S ribosomal protein S19";"rpsS";"yes";"adduct"
"Doxapram";"XFDJYSQDBULQSI-UHFFFAOYSA-N";"Potassium channel subfamily K member 3";"KCNK3";"yes";"inhibitor"
"Doxapram";"XFDJYSQDBULQSI-UHFFFAOYSA-N";"Potassium channel subfamily K member 9";"KCNK9";"yes";"inhibitor"
"Benzthiazide";"NDTSRXAMMQDVSW-UHFFFAOYSA-N";"Solute carrier family 12 member 3";"SLC12A3";"yes";"inhibitor"
"Benzthiazide";"NDTSRXAMMQDVSW-UHFFFAOYSA-N";"Carbonic anhydrase 1";"CA1";"unknown";"inhibitor"
"Benzthiazide";"NDTSRXAMMQDVSW-UHFFFAOYSA-N";"Carbonic anhydrase 2";"CA2";"unknown";"inhibitor"
"Benzthiazide";"NDTSRXAMMQDVSW-UHFFFAOYSA-N";"Carbonic anhydrase 4";"CA4";"unknown";"inhibitor"
"Benzthiazide";"NDTSRXAMMQDVSW-UHFFFAOYSA-N";"Carbonic anhydrase 9";"CA9";"unknown";"inhibitor"
"Benzthiazide";"NDTSRXAMMQDVSW-UHFFFAOYSA-N";"Carbonic anhydrase 12";"CA12";"unknown";"inhibitor"
"Methotrexate";"FBOZXECLQNJBKD-ZDUSSCGKSA-N";"Dihydrofolate reductase";"DHFR";"yes";"inhibitor"
"Methotrexate";"FBOZXECLQNJBKD-ZDUSSCGKSA-N";"Dihydrofolate reductase";"DHFR";"yes";"inhibitor"
"Carbamazepine";"FFGPTBGBLSHEPO-UHFFFAOYSA-N";"Sodium channel protein type 5 subunit alpha";"SCN5A";"yes";"inhibitor"
"Carbamazepine";"FFGPTBGBLSHEPO-UHFFFAOYSA-N";"Neuronal acetylcholine receptor subunit alpha-4";"CHRNA4";"unknown";""
"Carbamazepine";"FFGPTBGBLSHEPO-UHFFFAOYSA-N";"Neuronal acetylcholine receptor subunit beta-2";"CHRNB2";"unknown";""
"Carbamazepine";"FFGPTBGBLSHEPO-UHFFFAOYSA-N";"Nuclear receptor subfamily 1 group I member 2";"NR1I2";"unknown";""
"Cephalexin";"ZAIPMKNFIOOWCQ-UEKVPHQBSA-N";"Penicillin-binding protein 3";"pbp3";"yes";"inhibitor"
"Cephalexin";"ZAIPMKNFIOOWCQ-UEKVPHQBSA-N";"Penicillin-binding protein 2a";"pbp2a";"yes";"inhibitor"
"Cephalexin";"ZAIPMKNFIOOWCQ-UEKVPHQBSA-N";"Penicillin-binding protein 1b";"pbp1b";"yes";"inhibitor"
"Cephalexin";"ZAIPMKNFIOOWCQ-UEKVPHQBSA-N";"Penicillin-binding protein 2B";"penA";"yes";"inhibitor"
"Cephalexin";"ZAIPMKNFIOOWCQ-UEKVPHQBSA-N";"Penicillin-binding protein 1A";"pbpA";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Histamine H1 receptor";"HRH1";"yes";"antagonist"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Histamine H1 receptor";"HRH1";"yes";"antagonist"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1C";"CACNA1C";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1C";"CACNA1C";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1D";"CACNA1D";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1D";"CACNA1D";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1F";"CACNA1F";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1F";"CACNA1F";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1S";"CACNA1S";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent L-type calcium channel subunit alpha-1S";"CACNA1S";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent T-type calcium channel subunit alpha-1G";"CACNA1G";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent T-type calcium channel subunit alpha-1H";"CACNA1H";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent T-type calcium channel subunit alpha-1H";"CACNA1H";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent T-type calcium channel subunit alpha-1I";"CACNA1I";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Voltage-dependent T-type calcium channel subunit alpha-1I";"CACNA1I";"yes";"inhibitor"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"D(2) dopamine receptor";"DRD2";"no";"other/unknown"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"D(2) dopamine receptor";"DRD2";"no";"other/unknown"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"D(1) dopamine receptor";"DRD1";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"D(1) dopamine receptor";"DRD1";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"D(1) dopamine receptor";"DRD5";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"D(1) dopamine receptor";"DRD5";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM1";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM1";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM2";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM2";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM3";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM3";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM4";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM4";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM5";"unknown";"binder"
"Cinnarizine";"DERZBLKQOCDDDZ-JLHYYAGUSA-N";"Muscarinic acetylcholine receptor";"CHRM5";"unknown";"binder"
"Vinblastine";"JXLYSJRDGCGARV-CFWMRBGOSA-N";"Tubulin alpha-1A chain";"TUBA1A";"yes";"adduct"
"Vinblastine";"JXLYSJRDGCGARV-CFWMRBGOSA-N";"Tubulin beta chain";"TUBB";"yes";"adduct"
"Vinblastine";"JXLYSJRDGCGARV-CFWMRBGOSA-N";"Tubulin delta chain";"TUBD1";"yes";"adduct"
"Vinblastine";"JXLYSJRDGCGARV-CFWMRBGOSA-N";"Tubulin gamma-1 chain";"TUBG1";"yes";"adduct"
"Vinblastine";"JXLYSJRDGCGARV-CFWMRBGOSA-N";"Tubulin epsilon chain";"TUBE1";"yes";"adduct"
"Vinblastine";"JXLYSJRDGCGARV-CFWMRBGOSA-N";"Transcription factor AP-1";"JUN";"no";"other/unknown"
"Propranolol";"AQHHHDLHHXJYJD-UHFFFAOYSA-N";"Beta-1 adrenergic receptor";"ADRB1";"yes";"antagonist"
"Propranolol";"AQHHHDLHHXJYJD-UHFFFAOYSA-N";"Beta-1 adrenergic receptor";"ADRB1";"yes";"antagonist"
"Propranolol";"AQHHHDLHHXJYJD-UHFFFAOYSA-N";"Beta-1 adrenergic receptor";"ADRB1";"yes";"antagonist"
"Propranolol";"AQHHHDLHHXJYJD-UHFFFAOYSA-N";"Beta-2 adrenergic receptor";"ADRB2";"unknown";"antagonist"
"Propranolol";"AQHHHDLHHXJYJD-UHFFFAOYSA-N";"Beta-2 adrenergic receptor";"ADRB2";"unknown";"antagonist"
