Common name,DrugBank ID,chembl_id
Beta-(2-Naphthyl)-Alanine,DB01766,NA
Hemi-Babim,DB01767,CHEMBL46148
Methylumbelliferyl Sialic Acid,DB01768,CHEMBL1234524
CRA_10991,DB01771,NA
"3-[3-(2,3-Dihydroxy-Propylamino)-Phenyl]-4-(5-Fluoro-1-Methyl-1h-Indol-3-Yl)-Pyrrole-2,5-Dione",DB01772,NA
4-[3-Carboxymethyl-3-(4-Phosphonooxy-Benzyl)-Ureido]-4-[(3-Cyclohexyl-Propyl)-Methyl-Carbamoyl]Butyric Acid,DB01773,CHEMBL420910
Adenosine-5'-Monophosphate Glucopyranosyl-Monophosphate Ester,DB01774,CHEMBL227552
Dihydroxyacetone,DB01775,CHEMBL1229937
M-Cresol,DB01776,CHEMBL298312
Coa-S-Trimethylene-Acetyl-Tryptamine,DB01777,NA
"8-Amino-1,3-Dimethyl-3,7-Dihydropurine-2,6-Dione",DB01778,CHEMBL298737
Glycerol-2-Phosphate,DB01779,CHEMBL1232903
Fusicoccin,DB01780,NA
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",DB01782,CHEMBL7064
Pantothenic acid,DB01783,CHEMBL2110806
4-Flourobenzenesulfonamide,DB01784,CHEMBL1232673
Dimethylallyl Diphosphate,DB01785,CHEMBL343480
D-Alanine,DB01786,CHEMBL66693
4-Imino-5-Methidyl-2-Methylpyrimidine,DB01788,NA
"1-Amino-2,3-Dihydroxy-5-Hydroxymethyl Cyclohex-5-Ene",DB01789,NA
"Sp-Adenosine-3',5'-Cyclic-Monophosphorothioate",DB01790,NA
Piclamilast,DB01791,CHEMBL42126
Adenylyl-3'-5'-Phospho-Uridine-3'-Monophosphate,DB01792,NA
SB-409513,DB01793,CHEMBL156987
bis(molybdopterin)tungsten cofactor,DB01794,NA
Phenyl Boronic Acid,DB01795,CHEMBL21485
Quinolinic Acid,DB01796,CHEMBL286204
"(2R)-2-(aminomethyl)-2,4-dihydroxy-5-oxo-3-(2-oxoethyl)-2,5-dihydro-1h-imidazol-3-ium",DB01797,NA
Ethyl Dihydrogen Diphosphate,DB01798,NA
4-Hydroxy-3-Methyl Butyl Diphosphate,DB01799,NA
"N,4-Dihydroxy-N-Oxo-3-(Sulfooxy)Benzenaminium",DB01800,NA
"(4r)-7aza-7,8-Dihydrolimonene",DB01802,NA
2-(Trimethylammonium)Ethyl Thiol,DB01803,CHEMBL136145
"2-Ammoniobut-3-Enoate, 2-Amino-3-Butenoate",DB01804,NA
Monoisopropylphosphorylserine,DB01805,NA
"10-{4-Dimethylamino-5-[4-Hydroxy-6-Methyl-5-(6-Methyl-5-Oxo-Tetrahydro-Pyran-2-Yloxy)-Tetrahydro-Pyrane-2-Yloxy]-6-Methyl-Tetrahydro-Pyran-2-Yloxy}-8-Ethyl-1,8,11-Trihydroxy-7,8,9,10-Tetrahydro-Naphthacene-5,12-Dione",DB01806,NA
"N-[(3z)-5-Tert-Butyl-2-Phenyl-1,2-Dihydro-3h-Pyrazol-3-Ylidene]-N'-(4-Chlorophenyl)Urea",DB01807,NA
Thiarsahydroxy-Cysteine,DB01808,NA
"1-Ter-Butyl-3-P-Tolyl-1h-Pyrazolo[3,4-D]Pyrimidin-4-Ylamine",DB01809,CHEMBL306380
"[1-(1-Methyl-4,5-Dioxo-Pent-2-Enylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester",DB01810,NA
"3h-Indole-5,6-Diol",DB01811,CHEMBL92636
Adenosine-3'-5'-Diphosphate,DB01812,CHEMBL574817
Pyridoxyl-Glutamic Acid-5'-Monophosphate,DB01813,NA
2-Tridecanoyloxy-Pentadecanoic Acid,DB01814,NA
Nz-(Dicarboxymethyl)Lysine,DB01815,NA
Castanospermine,DB01816,CHEMBL311226
Threonine-Aspartic Ester,DB01817,NA
O3-Sulfonylgalactose,DB01818,NA
Phosphoenolpyruvate,DB01819,CHEMBL1235228
"Compound 12, N-Acetyl-4-[(Carboxycarbonyl)(2-Carboxyphenyl)Amino]-N-Pentyl-1-Napthylalaniamide",DB01820,CHEMBL1230658
"L-N(Omega)-Nitroarginine-2,4-L-Diaminobutyric Amide",DB01821,CHEMBL44833
"(4R,5R)-1,2-dithiane-4,5-diol",DB01822,NA
Beta-D-Glucopyranose Spirohydantoin,DB01823,CHEMBL595439
"(3s)-Tetrahydrofuran-3-Yl (1r,2s)-3-[4-((1r)-2-{[(S)-Amino(Hydroxy)Methyl]Oxy}-2,3-Dihydro-1h-Inden-1-Yl)-2-Benzyl-3-Oxopyrrolidin-2-Yl]-1-Benzyl-2-Hydroxypropylcarbamate",DB01824,NA
2-Amino-8-Methylquinazolin-4(3h)-One,DB01825,NA
N-Butyl Isocyanide,DB01826,NA
"2,3,5,6-Tetrafluoro-4-Methoxy-Benzamide",DB01827,NA
Methylamine,DB01828,CHEMBL43280
Desulfo-Coenzyme A,DB01829,NA
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid",DB01830,NA
Tryptophanyl-5'amp,DB01831,NA
4-[Hydroxy-[Methyl-Phosphinoyl]]-3-Oxo-Butanoic Acid,DB01832,NA
L-2-Amino-4-(Guanidinooxy)Butyric Acid,DB01833,CHEMBL443732
"(9R,10R)-9-(S-glutathionyl)-10-hydroxy-9,10-dihydrophenanthrene",DB01834,NA
4r-Fluoro-N6-Ethanimidoyl-L-Lysine,DB01835,NA
"[4-(6-Chloro-Naphthalene-2-Sulfonyl)-Piperazin-1-Yl]-(3,4,5,6-Tetrahydro-2h-[1,4']Bipyridinyl-4-Yl)-Methanone",DB01836,CHEMBL270527
O-acetyl-L-serine,DB01837,NA
"6,4'-Dihydroxy-3-Methyl-3',5'-Dibromoflavone",DB01838,NA
Propylene glycol,DB01839,CHEMBL286398
2-Deoxy-D-Glucitol 6-(E)-Vinylhomophosphonate,DB01840,NA
"4,6-Dideoxyglucose",DB01841,NA
3'-Phosphate-Adenosine-5'-Diphosphate,DB01842,NA
"3-Amino-8,9,10-Trihydroxy-7-Hydroxymethyl-6-Oxa-1,3-Diaza-Spiro[4.5]Decane-2,4-Dione",DB01843,CHEMBL594722
"N,N-dimethylformamide",DB01844,CHEMBL268291
Oxidized Coenzyme A,DB01846,NA
N-Carbamyl-D-Valine,DB01847,CHEMBL187835
"3,4-Dihydrouracil",DB01849,NA
"(2s,3s,8s,9s)-3-Amino-9-Methoxy-2,6,8-Trimethyl-10-Phenyldeca-4,6-Dienoic Acid",DB01850,NA
Tetrabutylammonium Ion,DB01851,CHEMBL1236196
Kaempherol,DB01852,CHEMBL150
Bacteriochlorophyll A,DB01853,NA
5-Bromonicotinamide,DB01854,NA
5-(Hydroxy-Methyl-Amino)-3-Methyl-Pyrrolidine-2-Carboxylic Acid,DB01855,NA
Pimelic Acid,DB01856,CHEMBL1235351
Phosphoaspartate,DB01857,NA
[1-(4-Fluorobenzyl)Cyclobutyl]Methyl (1s)-1-[Oxo(1h-Pyrazol-5-Ylamino)Acetyl]Pentylcarbamate,DB01858,CHEMBL185097
4-Diphosphocytidyl-2-C-Methyl-D-Erythritol 2-Phosphate,DB01859,CHEMBL1236081
Cordycepin Triphosphate,DB01860,CHEMBL480329
Uridine diphosphate glucose,DB01861,CHEMBL375951
Isopropyl beta-D-thiogalactopyranoside,DB01862,NA
"Inositol 1,3,4,5-Tetrakisphosphate",DB01863,CHEMBL23552
5'-Guanosine-Diphosphate-Monothiophosphate,DB01864,CHEMBL1204628
3-(6-Aminopyridin-3-Yl)-N-Methyl-N-[(1-Methyl-1h-Indol-2-Yl)Methyl]Acrylamide,DB01865,CHEMBL297053
RU79256,DB01866,NA
Glycyl-L-a-Aminopimelyl-E-(D-2-Aminoethyl)Phosphonate,DB01868,NA
"1,4-dithio-alpha-D-glucopyranose",DB01870,NA
[1-(1-Benzyl-3-Hydroxy-2-Oxo-Propylcarbamoyl)-2-Phenyl-Ethyl]-Carbamic Acid Benzyl Ester,DB01871,CHEMBL261723
2-deoxy-2-acetamido-beta-D-galactose-4-sulfate,DB01872,NA
Epothilone D,DB01873,CHEMBL96172
Tropinone,DB01874,NA
8-Azaxanthine,DB01875,CHEMBL219341
Bis(5-Amidino-2-Benzimidazolyl)Methanone,DB01876,NA
"N-Hydroxy 1n(4-Methoxyphenyl)Sulfonyl-4-(Z,E-N-Methoxyimino)Pyrrolidine-2r-Carboxamide",DB01877,NA
Benzophenone,DB01878,CHEMBL90039
(S)-2-{Methyl-[2-(Naphthalene-2-Sulfonylamino)-5-(Naphthalene-2-Sulfonyloxy)-Benzoyl]-Amino}-Succinicacid,DB01879,NA
"3,4-Dihydroxycinnamic Acid",DB01880,CHEMBL145
"2-Methylpentane-1,2,4-Triol",DB01881,NA
"(2s)-2-Amino-4-(Methylsulfanyl)-1-Pyridin-2-Ylbutane-1,1-Diol",DB01882,NA
N-(Sulfanylacetyl)Tyrosylprolylmethioninamide,DB01883,NA
2-Amino-3-Methyl-1-Pyrrolidin-1-Yl-Butan-1-One,DB01884,CHEMBL383705
D-Galctopyranosyl-1-On,DB01885,NA
Inhibitor BEA369,DB01887,NA
"4-[5-(Trans-4-Aminocyclohexylamino)-3-Isopropylpyrazolo[1,5-a]Pyrimidin-7-Ylamino]-N,N-Dimethylbenzenesulfonamide",DB01888,CHEMBL361348
"16,17-Androstene-3-Ol",DB01889,CHEMBL142348
"N,N-Bis(3-(D-gluconamido)propyl)deoxycholamide",DB01890,NA
Tl-3-093,DB01891,NA
Hyperforin,DB01892,CHEMBL1237210
N6-Benzyl Adenosine-5'-Diphosphate,DB01893,NA
Aspartyl-Adenosine-5'-Monophosphate,DB01895,NA
M-Aminophenylboronic Acid,DB01896,CHEMBL20852
2-(2f-Benzothiazolyl)-5-Styryl-3-(4f-Phthalhydrazidyl)Tetrazolium Chloride,DB01897,NA
"(2S,3S)-2-azanyl-3-methyl-pentanedioic acid",DB01898,CHEMBL38885
Nd1-Phosphonohistidine,DB01899,NA
Sucrosofate,DB01901,CHEMBL1235872
"1-Ethyl-Pyrrolidine-2,5-Dione",DB01902,NA
5-Bromo-2'-Deoxyuridine-5'-Monophosphate,DB01903,CHEMBL1160593
D-Xylitol,DB01904,CHEMBL96783
2-(2-Hydroxy-5-Methoxy-Phenyl)-1h-Benzoimidazole-5-Carboxamidine,DB01905,NA
"3-(5-Amino-7-Hydroxy-[1,2,3]Triazolo[4,5-D]Pyrimidin-2-Yl)-Benzoic Acid",DB01906,CHEMBL265758
RU85493,DB01908,CHEMBL436462
Alpha-Cyclodextrin (Cyclohexa-Amylose),DB01909,CHEMBL1230813
Sinefungin,DB01910,CHEMBL1214186
N-Methylmesoporphyrin,DB01911,NA
"2,2':6',2''-Terpyridine Platinum(Ii)",DB01912,NA
D-glucose,DB01914,NA
S-Hydroxycysteine,DB01915,NA
Putrescine,DB01917,CHEMBL46257
[Methyltelluro]Acetate,DB01918,NA
Pentanal,DB01919,CHEMBL18602
1-O-[O-Nitrophenyl]-Beta-D-Galactopyranose,DB01920,CHEMBL1229648
Xylose-Derived Lactam Oxime,DB01921,NA
"Maltosyl-Alpha (1,4)-D-Gluconhydroximo-1,5-Lactam",DB01922,CHEMBL1233953
L-Xylulose 5-Phosphate,DB01923,NA
Benzhydroxamic Acid,DB01924,CHEMBL16300
"2'-Chloro-Biphenyl-2,3-Diol",DB01925,NA
Carboxymycobactin S,DB01926,NA
Duroquinone,DB01927,CHEMBL151604
"5-Chloryl-2,4,6-Quinazolinetriamine",DB01929,NA
"2,4-Dihydroxy-3,3-Dimethyl-Butyrate",DB01930,NA
"Dcka, 5,7-Dichlorokynurenic Acid",DB01931,CHEMBL50267
5-Methylpyrrole,DB01932,CHEMBL426643
7-Hydroxystaurosporine,DB01933,CHEMBL1236539
"N-Methyl-N-(10-Methylundecanoyl)-D-Seryl-L-Alanyl-N~1~-[(7s,10s,13s)-13-Carboxy-3,18-Dihydroxy-10-Methyl-8,11-Dioxo-9,12-Diazatricyclo[13.3.1.1~2,6~]Icosa-1(19),2(20),3,5,15,17-Hexaen-7-Yl]-N~1~-Methylglycinamide",DB01934,CHEMBL1231055
3-{[(1r)-1-Benzyl-2-Sulfanylethyl]Amino}-3-Oxopropanoic Acid,DB01935,CHEMBL45412
alpha-D-arabinofuranose,DB01936,NA
Guanosine-2'-Monophosphate,DB01937,NA
L-Histidine Beta Naphthylamide,DB01938,NA
5-Amidino-Benzimidazole,DB01939,NA
Balanol Analog 2,DB01940,NA
"6-[1-(3,5,5,8,8-Pentamethyl-5,6,7,8-Tetrahydronaphthalen-2-Yl)Cyclopropyl]Pyridine-3-Carboxylic Acid",DB01941,CHEMBL288436
Formic Acid,DB01942,CHEMBL116736
(S)-blebbistatin,DB01944,CHEMBL1231358
4-Carbamoyl-1-Beta-D-Ribofuranosyl-Imidazolium-5-Olate-5'-Phosphate,DB01945,NA
"3-[1-(3-Aminopropyl)-1h-Indol-3-Yl]-4-(1-Methyl-1h-Indol-3-Yl)-1h-Pyrrole-2,5-Dione",DB01946,CHEMBL269264
RU78262,DB01947,CHEMBL286678
"1-(2,6-Dichlorophenyl)-5-(2,4-Difluorophenyl)-7-Piperidin-4-Yl-3,4-Dihydroquinolin-2(1h)-One",DB01948,CHEMBL564912
"2-Amino-N,3,3-Trimethylbutanamide",DB01949,NA
"N-(4-Methoxybenzyl)-N'-(5-Nitro-1,3-Thiazol-2-Yl)Urea",DB01950,CHEMBL259850
Gpi-1046,DB01951,CHEMBL6367
"1,N6-Ethenoadenine",DB01952,NA
Inhibitor of P38 Kinase,DB01953,CHEMBL193156
Rolipram,DB01954,CHEMBL63
"1,4-Butanediol",DB01955,CHEMBL171623
Taurine,DB01956,CHEMBL239243
3-Chlorophenol,DB01957,CHEMBL41172
"5-[4-Tert-Butylphenylsulfanyl]-2,4-Quinazolinediamine",DB01958,CHEMBL329985
"3,5-Dimethyl-1-(3-Nitrophenyl)-1h-Pyrazole-4-Carboxylic Acid Ethyl Ester",DB01959,NA
7n-Methyl-8-Hydroguanosine-5'-Diphosphate,DB01960,NA
Cytidine 3'-monophosphate,DB01961,CHEMBL258728
Phosphonotyrosine,DB01962,CHEMBL286939
Phenylethane Boronic Acid,DB01963,CHEMBL20461
AL5424,DB01964,NA
"2'-Deoxyuridine 5'-Alpha,Beta-Imido-Triphosphate",DB01965,CHEMBL1232397
Di-Stearoyl-3-Sn-Phosphatidylethanolamine,DB01966,NA
"N-{3-[(7ar,12as,12bs)-7-Oxo-1,3,4,6,7,7a,12a,12b-Octahydroindolo[2,3-a]Quinolizin-12(2h)-Yl]Propyl}Propane-2-Sulfonamide",DB01967,NA
2-Thioethenamine,DB01968,NA
Trifluoroacetonyl Coenzyme A,DB01969,NA
"Hg9a-9, Nonanoyl-N-Hydroxyethylglucamide",DB01970,NA
trans-urocanic acid,DB01971,CHEMBL1236602
Guanosine-5'-Monophosphate,DB01972,CHEMBL283807
O-Benzylsulfonyl-Serine,DB01973,NA
"2-Amino-3-[5-(Amino-Carboxy-Methyl)-2,3-Dihydro-Isoxazol-3-Ylsulfanyl]-Propionic Acid",DB01974,NA
AMPCPR,DB01975,NA
Aminoanthracene,DB01976,CHEMBL82321
6-(N-Phenylcarbamyl)-2-Naphthalenecarboxamidine,DB01977,CHEMBL104937
"7,9-Dimethylguanine",DB01978,NA
Methyl alpha-D-mannoside,DB01979,CHEMBL195368
Para-Iodo-D-Phenylalanine Hydroxamic Acid,DB01980,NA
"3,6-Anhydro-D-Galactose-2-Sulfate",DB01981,NA
D-Mannuronic Acid,DB01982,NA
2(S)-Amino-6-Boronohexanoic Acid,DB01983,NA
4-[2-(3-Benzyloxycarbonylamino-4-Cyclohexyl-1-Hydroxy-2-Oxo-Butylamino)-5-Guanidino-Pentanoylamino]-4-(1-Carboxy-2-Cyclohexyl-Ethylcarbamoyl)-Butyric Acid,DB01984,NA
N-Alpha-L-Acetyl-Arginine,DB01985,NA
3-Fluoro-2-Methyl-Aniline,DB01986,NA
Cocarboxylase,DB01987,CHEMBL1236235
6((S)-3-Benzylpiperazin-1-Yl)-3-(Naphthalen-2-Yl)-4-(Pyridin-4-Yl)Pyrazine,DB01988,NA
Carbobenzoxy-Pro-Lys-Phe-Y(Po2)-Ala-Pro-Ome,DB01989,NA
Cholesterol-Sulfate,DB01990,CHEMBL1231592
Tu-514,DB01991,CHEMBL1236446
Coenzyme A,DB01992,CHEMBL1213327
N-(5'-Phosphopyridoxyl)-D-Alanine,DB01993,NA
"2-(Pyrido[1,2-E]Purin-4-Yl)Amino-Ethanol",DB01994,NA
5-Methylcytidine-5'-Monophosphate,DB01995,CHEMBL72388
3-Methylpyridine,DB01996,CHEMBL15722
3-Bromo-7-Nitroindazole,DB01997,CHEMBL479014
"2-[3,4-Dihydroxy-2-Hydroxymethyl-5-(2-Hydroxy-Nonyl)-Tetrahydro-Furan-2-Yloxy]-6-Hydroxymethyl-Tetra Hydro-Pyran-3,4,5-Triol",DB01998,NA
"5,10,15,20-Tetrakis(4-Sulpfonatophenyl)-21h,23h-Porphine",DB01999,NA
"5-(4-Morpholin-4-Yl-Phenylsulfanyl)-2,4-Quinazolinediamine",DB02001,CHEMBL328827
2-Aminoprop-2-Enamide,DB02002,NA
"5-(Aminomethyl)-6-(2,4-Dichlorophenyl)-2-(3,5-Dimethoxyphenyl)Pyrimidin-4-Amine",DB02004,CHEMBL34062
2-Oxo-3-Pentenoic Acid,DB02005,NA
Br-Coeleneterazine,DB02006,NA
alpha-D-glucose 6-phosphate,DB02007,NA
1-(2-Fluorobenzyl)-3-Butyl-8-(N-Acetyl-4-Aminobenzyl)-Xanthine,DB02008,CHEMBL120708
"L-756,423",DB02009,CHEMBL1233940
Staurosporine,DB02010,CHEMBL388978
N-(Phosphonoacetyl)-L-Ornithine,DB02011,CHEMBL1160567
Monoazido-Mu-Oxo-Diiron,DB02013,NA
Compound 9,DB02014,CHEMBL117869
Dihydrofolic Acid,DB02015,CHEMBL46294
R048-8071,DB02016,CHEMBL304858
Imidazole-Derived Cellobiose,DB02017,NA
Amido Phenyl Pyruvic Acid,DB02018,CHEMBL1231012
Acetyl Dithranol,DB02019,CHEMBL321113
Alrestatin,DB02020,CHEMBL63055
Fidarestat,DB02021,CHEMBL84446
4-Amino-5-Hydroxymethyl-2-Methylpyrimidine,DB02022,NA
8-Oxo-2'-Deoxy-Guanosine-5'-Monophosphate,DB02023,NA
3-phenylpropionic acid,DB02024,CHEMBL851
L-D-(a-Aminoadipoyl)-L-Cysteinyl-D-Valine,DB02025,CHEMBL70421
"Furo[2,3d]Pyrimidine Antifolate",DB02026,CHEMBL104829
N-{(4s)-4-Amino-5-[(2-Aminoethyl)Amino]Pentyl}-N'-Nitroguanidine,DB02027,CHEMBL227937
"(1R,2R,3S,4R,6S)-3,4,6-Trihydroxy-5-{[(S)-hydroxy(3-hydroxy-2-oxopropoxy)phosphoryl]oxy}-1,2-cyclohexanediyl bis[dihydrogen (phosphate)]",DB02028,NA
N-Cyclohexyl-N'-(4-Iodophenyl)Urea,DB02029,CHEMBL1231797
Alpha-Ribazole-5'-Phosphate,DB02030,NA
"(6S)-5,6,7,8-tetrahydrofolate",DB02031,NA
1-(3-Mercapto-2-Methyl-Propionyl)-Pyrrolidine-2-Carboxylic Acid,DB02032,CHEMBL269634
"N-(3-Cyclopropyl(5,6,7,8,9,10-Hexahydro-2-Oxo-2h-Cycloocta[B]Pyran-3-Yl)Methyl)Phenylbenzensulfonamide",DB02033,NA
Tridolgosir,DB02034,CHEMBL371197
1-Hexadecylsulfonyl Fluoride,DB02035,CHEMBL94809
"2-(3,4-Dihydro-3-Oxo-2h-Benzo[B][1,4]Thiazin-2-Yl)-N-Hydroxyacetamide",DB02036,NA
"2,4-Diamino-4,6-Dihydroxypyrimidine",DB02037,CHEMBL175083
"D-[3-hydroxy-2-methyl-5-phosphonooxymethyl-pyridin-4-ylmethyl]-N,O-cycloserylamide",DB02038,NA
S-Acetyl-Cysteine,DB02039,NA
Isoluminol,DB02041,CHEMBL14882
2-(2-{2-[2-(2-Methoxy-Ethoxy)-Ethoxy]-Ethoxy}-Ethoxy)-Ethanol,DB02042,CHEMBL1229767
"1,2-Dipalmitoyl-Phosphatidyl-Glycerole",DB02043,CHEMBL2286758
N-(3-(Aminomethyl)Benzyl)Acetamidine,DB02044,CHEMBL107251
Amylamine,DB02045,NA
N-[(Furan-2-Yl)Carbonyl]-(S)-Leucyl-(R)-[1-Amino-2(1h-Indol-3-Yl)Ethyl]-Phosphonic Acid,DB02046,NA
"2-(1,1'-Biphenyl-4-Yl)Propanoic Acid",DB02047,NA
"1,2,4-Triazole-Carboxamidine",DB02048,NA
2-{4-[4-(4-Chloro-Phenoxy)-Benzenesulfonyl]-Tetrahydro-Pyran-4-Yl}-N-Hydroxy-Acetamide,DB02049,CHEMBL93687
3-[N-[Benzyloxycarbonyl]-Phenylalaninyl-Amino]-5-Phenyl-Pentane-1-Sulfonic Acid 4-Nitro-Phenyl Ester,DB02051,NA
Indirubin-3'-Monoxime,DB02052,CHEMBL216543
Ribose-5-phosphate,DB02053,NA
Gabaculine,DB02054,CHEMBL307782
N-Butyl-Benzenesulfonamide,DB02055,CHEMBL479880
Prostaglandin D2,DB02056,CHEMBL1235252
(S)-AMPA,DB02057,CHEMBL276815
SU4984,DB02058,NA
Adenosine-5-Diphosphoribose,DB02059,NA
Cyclohexanone,DB02060,CHEMBL18850
Cellobiose,DB02061,NA
"N-[3-[(1-Aminoethyl)(Hydroxy)Phosphoryl]-2-(1,1'-Biphenyl-4-Ylmethyl)Propanoyl]Alanine",DB02062,NA
CRA_16847,DB02063,NA
4-Deoxylactose,DB02065,NA
N7-Methyl-Formycin A,DB02066,NA
Triglu-5-Formyl-Tetrahydrofolate,DB02067,CHEMBL1236268
Delta-Amino Valeric Acid,DB02068,NA
N-(2-Flouro-Benzyl)-4-Sulfamoyl-Benzamide,DB02069,NA
L-2-Amino-4-[2-Aminophenyl]-4-Oxobutanoic Acid,DB02070,CHEMBL498416
WAY-151693,DB02071,CHEMBL70176
"2-(Oxalyl-Amino)-4,7-Dihydro-5h-Thieno[2,3-C]Thiopyran-3-Carboxylic Acid",DB02072,CHEMBL139423
Biliverdine IX Alpha,DB02073,CHEMBL455477
Butenoic Acid,DB02074,CHEMBL1213528
"(1s)-1(9-Deazahypoxanthin-9yl)1,4-Dideoxy-1,4-Imino-D-Ribitol-5-Phosphate",DB02075,NA
6-phospho-D-gluconic acid,DB02076,CHEMBL1230513
L-N(Omega)-Nitroarginine-(4r)-Amino-L-Proline Amide,DB02077,CHEMBL228077
Triglyme,DB02078,CHEMBL1235255
Aminooxyacetic acid,DB02079,CHEMBL347862
"1-{2-[2-(2-Methoxyethoxy)Ethoxy]Ethoxy}-4-(1,1,3,3-Tetramethylbutyl)Benzene",DB02080,NA
Bis-Benzamidine,DB02081,NA
Phosphoaminophosphonic Acid Guanylate Ester,DB02082,CHEMBL1233085
"N,N-dimethylglycine",DB02083,NA
CRA_17312,DB02084,NA
1-Aminocyclopropanecarboxylic Acid,DB02085,CHEMBL265325
"(3,4-Dihydroxy-Phenyl)-Triphenyl-Arsonium",DB02086,NA
"3,5-Difluorobenzenesulfonamide",DB02087,NA
Norleucine Phosphonate,DB02088,NA
CP-526423,DB02089,CHEMBL434025
A Disubstituted Succinyl Caprolactam Hydroxymate Mmp3inhibitor,DB02090,NA
"4-(2,4-Dimethyl-Thiazol-5-Yl)-Pyrimidin-2-Ylamine",DB02091,CHEMBL47302
Cholesteryl Linoleate,DB02092,NA
5-Phospho-D-Arabinohydroxamic Acid,DB02093,CHEMBL1235136
N-2-Thiophen-2-Yl-Acetamide Boronic Acid,DB02094,CHEMBL320049
Isatin,DB02095,CHEMBL326294
FR221647,DB02096,CHEMBL329433
Cytidine,DB02097,CHEMBL95606
Adenosine-2'-5'-Diphosphate,DB02098,CHEMBL1161861
S-azabisabolene,DB02099,NA
Methyl alpha-galactoside,DB02100,CHEMBL467773
"(S,R)-fidarestat",DB02101,CHEMBL189464
DMP450,DB02102,CHEMBL223824
2-Chlorodideoxyadenosine,DB02103,NA
"2,4-Diamino-5-Methyl-6-[(3,4,5-Trimethoxy-N-Methylanilino)Methyl]Pyrido[2,3-D]Pyrimidine",DB02104,CHEMBL50514
"3,5-Dinitrocatechol",DB02105,CHEMBL168276
"[3,5-Dibromo-4-(4-Hydroxy-3-Phenethylcarbamoyl-Phenoxy)-Phenyl]-Acetic Acid",DB02106,NA
Leucine - Reduced Carbonyl,DB02107,NA
2-Aminoethanimidic Acid,DB02108,NA
Hadacidin,DB02109,CHEMBL331373
Protoporphyrin Ix Containing Co,DB02110,NA
3-Hydroxyisoxazole-4-Carboxylic Acid,DB02111,CHEMBL1232960
Zk-806450,DB02112,CHEMBL369251
6-Methylpurine,DB02113,CHEMBL293405
Para-Isopropylaniline,DB02114,NA
Daidzin,DB02115,CHEMBL486422
Olomoucine,DB02116,CHEMBL280074
CP-271485,DB02118,NA
"6-Hydroxymethyl-7,8-Dihydropterin",DB02119,CHEMBL1233322
"6-Amino-4-Hydroxymethyl-Cyclohex-4-Ene-1,2,3-Triol",DB02120,CHEMBL1230806
Butyramide,DB02121,CHEMBL1231396
4-iodo-acetamido phenylboronic acid,DB02122,NA
Glycochenodeoxycholic Acid,DB02123,CHEMBL1552
"(2s,3s)-Trans-2,3-Dihydro-3-Hydroxyanthranilic Acid",DB02124,CHEMBL1233316
Adamantanone,DB02125,NA
4-Carboxycinnamic Acid,DB02126,NA
Methylphosphonic Acid Diisopropyl Ester,DB02127,CHEMBL1232236
[1-(3-Hydroxy-2-Oxo-1-Phenethyl-Propylcarbamoyl)2-Phenyl-Ethyl]-Carbamic Acid Pyridin-4-Ylmethyl Ester,DB02128,NA
Dihydroorotic Acid,DB02129,NA
Vanillic acid,DB02130,NA
N-1-Methylheptylformamide,DB02131,NA
Zenarestat,DB02132,CHEMBL10413
Chlorophyll A,DB02133,NA
Xanthine,DB02134,CHEMBL1424
"4-{2,6,8-Trioxo-9-[(2R,3S,4R)-2,3,4,5-Tetrahydroxypentyl]-1,2,3,6,8,9-Hexahydro-7h-Purin-7-Yl}Butyl Dihydrogen Phosphate",DB02135,NA
Cephalosporin Analog,DB02136,NA
Molybdenum Cofactor,DB02137,NA
Diethyl 4-Methylbenzylphosphonate,DB02138,NA
(2e)-N-Allyl-4-{[3-(4-Bromophenyl)-5-Fluoro-1-Methyl-1h-Indazol-6-Yl]Oxy}-N-Methyl-2-Buten-1-Amine,DB02139,CHEMBL65730
N1-(1-Dimethylcarbamoyl-2-Phenyl-Ethyl)-2-Oxo-N4-(2-Pyridin-2-Yl-Ethyl)-Succinamide,DB02140,NA
"S,S'-(1,4-Phenylene-Bis(1,2-Ethanediyl))Bis-Isothiourea",DB02141,CHEMBL444422
Pyridoxamine-5'-Phosphate,DB02142,CHEMBL1235353
N-Isopropyl-N'-Hydroxyguanidine,DB02143,CHEMBL72434
"1,2-diacyl-sn-glycero-3-phosphoinositol",DB02144,NA
Butyl alcohol,DB02145,CHEMBL14245
Atrazine Glutathione Conjugate,DB02146,NA
Cyclo-Tetrametavanadate,DB02147,NA
3-Amino-4-Oxybenzyl-2-Butanone,DB02148,CHEMBL1235900
Methionine Phosphonate,DB02151,NA
K-252a,DB02152,CHEMBL281948
3-Sulfinoalanine,DB02153,CHEMBL1160508
"2,3-Bis-Benzo[1,3]Dioxol-5-Ylmethyl-Succinic Acid",DB02154,CHEMBL1231277
Balanol Analog 8,DB02155,NA
Sulfopyruvate,DB02156,NA
